,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
398441,I152080483,2905,Violations,VAL - OPERATING WITHOUT LICENSE,D14,750,,2015-09-27 10:56:00,2015,9,Sunday,10,Part Two,COMMONWEALTH AVE,42.34013878,-71.16082232,"(42.34013878, -71.16082232)"
70837,I192003517,2511,Other,KIDNAPPING - ENTICING OR ATTEMPTED,B3,469,,2019-01-13 21:38:00,2019,1,Sunday,21,Part Two,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
46614,I192029016,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,754,,2018-12-01 00:50:00,2018,12,Saturday,0,Part Two,TREMONT ST,42.35018847,-71.16949927,"(42.35018847, -71.16949927)"
120746,I182055137,3001,Medical Assistance,DEATH INVESTIGATION,A1, ,,2018-07-13 11:36:00,2018,7,Friday,11,Part Three,,42.34863242,-71.06553747,"(42.34863242, -71.06553747)"
358069,I162016610,1304,Recovered Stolen Property,PROPERTY - STOLEN THEN RECOVERED,B2,311,,2016-03-01 19:30:00,2016,3,Tuesday,19,Part Two,WOODBINE ST,42.3189792,-71.07964653,"(42.31897920, -71.07964653)"
67567,I192006992,613,Larceny,LARCENY SHOPLIFTING,D4,161,,2019-01-27 09:13:00,2019,1,Sunday,9,Part One,TREMONT ST,42.34701666,-71.06886238,"(42.34701666, -71.06886238)"
10748,I192066897,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,171,,2019-08-23 07:30:00,2019,8,Friday,7,Part Two,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
228006,I172049512,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E18,492,,2017-06-20 20:11:00,2017,6,Tuesday,20,Part Three,METROPOLITAN AVE,42.26409,-71.117875,"(42.26409000, -71.11787500)"
154717,I182019539,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6,186,,2018-03-15 13:19:00,2018,3,Thursday,13,Part One,W HOWELL ST,42.32552765,-71.05984052,"(42.32552765, -71.05984052)"
111795,I182064669,611,Larceny,LARCENY PICK-POCKET,D4,624,,2018-08-11 23:30:00,2018,8,Saturday,23,Part One,LANSDOWNE ST,42.34717363,-71.0964439,"(42.34717363, -71.09644390)"
87287,I182090820,2647,Other,THREATS TO DO BODILY HARM,C11,381,,2018-11-09 11:25:00,2018,11,Friday,11,Part Two,NEPONSET AVE,42.28678712,-71.0449173,"(42.28678712, -71.04491730)"
83684,I182094791,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,441,,2018-11-24 10:10:00,2018,11,Saturday,10,Part Three,KINGSDALE ST,42.29478707,-71.08206875,"(42.29478707, -71.08206875)"
241695,I172034809,613,Larceny,LARCENY SHOPLIFTING,D4,143,,2017-05-03 19:30:00,2017,5,Wednesday,19,Part One,BOYLSTON ST,42.34932471,-71.08014801,"(42.34932471, -71.08014801)"
419449,I152057478,3301,Verbal Disputes,VERBAL DISPUTE,B2,330,,2015-07-12 08:20:00,2015,7,Sunday,8,Part Three,NORMANDY ST,42.30418986,-71.08377109999999,"(42.30418986, -71.08377110)"
406439,I152071800,613,Larceny,LARCENY SHOPLIFTING,B3,426,,2015-08-18 19:00:00,2015,8,Tuesday,19,Part One,BLUE HILL AVE,42.26820198,-71.09367344,"(42.26820198, -71.09367344)"
24918,I192051926,2629,Harassment,HARASSMENT,A15,53,,2019-07-07 11:15:00,2019,7,Sunday,11,Part Two,AUBURN ST,42.38059274,-71.06970347,"(42.38059274, -71.06970347)"
182960,I172097199,2647,Other,THREATS TO DO BODILY HARM,B2,292,,2017-11-21 16:22:00,2017,11,Tuesday,16,Part Two,LAMBERT ST,42.32824866,-71.09087012,"(42.32824866, -71.09087012)"
244786,I172031533,2647,Other,THREATS TO DO BODILY HARM,C11,341,,2017-04-23 02:00:00,2017,4,Sunday,2,Part Two,HAMILTON ST,42.30500848,-71.06606441,"(42.30500848, -71.06606441)"
381262,I152099265,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,83,,2015-12-01 16:11:00,2015,12,Tuesday,16,Part One,HANOVER ST,42.36535761,-71.05302314,"(42.36535761, -71.05302314)"
212988,I172065381,3502,Missing Person Located,MISSING PERSON - LOCATED,D14,806,,2017-08-09 23:36:00,2017,8,Wednesday,23,Part Three,RICHARDSON ST,42.36127607,-71.14345725,"(42.36127607, -71.14345725)"
188800,I172091032,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,905,,2017-10-31 12:07:00,2017,10,Tuesday,12,Part Two,E BROOKLINE ST,42.33926764,-71.07208833,"(42.33926764, -71.07208833)"
53789,I192021388,1402,Vandalism,VANDALISM,C11,337,,2019-03-23 12:12:00,2019,3,Saturday,12,Part Two,COLUMBIA RD,42.30782356,-71.07552211,"(42.30782356, -71.07552211)"
74946,I182104479,3502,Missing Person Located,MISSING PERSON - LOCATED,E18,499,,2018-12-28 17:18:00,2018,12,Friday,17,Part Three,HYDE PARK AVE,42.27772002,-71.11929386,"(42.27772002, -71.11929386)"
386152,I152093868,423,Aggravated Assault,ASSAULT - AGGRAVATED,E13, ,,2015-11-12 07:29:00,2015,11,Thursday,7,Part One,COLUMBUS AVE,,,"(0.00000000, 0.00000000)"
169837,I182003502,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,149,,2018-01-13 20:36:00,2018,1,Saturday,20,Part One,W NEWTON ST,42.34385799,-71.07953502,"(42.34385799, -71.07953502)"
390070,I152089496,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,629,,2015-10-28 18:39:00,2015,10,Wednesday,18,Part Three,BEACON ST,42.347497,-71.101763,"(42.34749700, -71.10176300)"
53883,I192021290,801,Simple Assault,ASSAULT - SIMPLE,A7,21,,2019-03-22 21:28:00,2019,3,Friday,21,Part Two,PARIS ST,42.37442697,-71.03527876,"(42.37442697, -71.03527876)"
326349,I162050621,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C11,355,,2016-06-25 21:22:00,2016,6,Saturday,21,Part Two,GIBSON ST,42.29755533,-71.05970909999999,"(42.29755533, -71.05970910)"
184464,I172095618,616,Larceny,LARCENY THEFT OF BICYCLE,E5,686,,2017-11-01 20:00:00,2017,11,Wednesday,20,Part One,COLBERG AVE,42.28360922,-71.14334791,"(42.28360922, -71.14334791)"
241790,I172034714,1402,Vandalism,VANDALISM,B3, ,,2017-05-03 13:37:00,2017,5,Wednesday,13,Part Two,ALGONQUIN ST,,,"(0.00000000, 0.00000000)"
51750,I192023584,617,Larceny,LARCENY THEFT FROM BUILDING,C6,207,,2019-03-31 00:10:00,2019,3,Sunday,0,Part One,NORTHERN AVE,42.35320826,-71.0464714,"(42.35320826, -71.04647140)"
124230,I182051509,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,D14,796,,2018-07-01 02:48:00,2018,7,Sunday,2,Part Two,COMMONWEALTH AVE,42.35066171,-71.12850882,"(42.35066171, -71.12850882)"
35284,I192040911,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,437,,2019-05-31 17:29:00,2019,5,Friday,17,Part Two,FERNDALE ST,42.288168799999994,-71.07709596,"(42.28816880, -71.07709596)"
151492,I182022935,3115,Investigate Person,INVESTIGATE PERSON,E18,503,,2018-03-27 21:37:00,2018,3,Tuesday,21,Part Three,AMERICAN LEGION HWY,42.28671034,-71.10822888,"(42.28671034, -71.10822888)"
278361,I162102176,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,516,,2016-12-15 09:00:00,2016,12,Thursday,9,Part Three,WILLIAMS AVE,42.24831869,-71.11676234,"(42.24831869, -71.11676234)"
356675,I162018137,801,Simple Assault,ASSAULT - SIMPLE,A1,105,,2016-03-08 07:35:00,2016,3,Tuesday,7,Part Two,FRUIT ST,42.36240281,-71.06954652,"(42.36240281, -71.06954652)"
134865,I182040369,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",D14,938,,2018-05-26 12:03:00,2018,5,Saturday,12,Part Two,FIDELIS WAY,42.34600287,-71.14387725,"(42.34600287, -71.14387725)"
244938,I172031358,801,Simple Assault,ASSAULT - SIMPLE,E5,685,,2017-04-19 19:30:00,2017,4,Wednesday,19,Part Two,HAYDN ST,42.27788435,-71.1390777,"(42.27788435, -71.13907770)"
2230,I192076122,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,604,,2019-09-21 15:06:00,2019,9,Saturday,15,Part Two,HILLSIDE ST,42.330675,-71.10371734,"(42.33067500, -71.10371734)"
402438,I152076153,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C6,199,,2015-09-13 16:14:00,2015,9,Sunday,16,Part Three,A ST,42.34111504,-71.05632465,"(42.34111504, -71.05632465)"
300009,I162078973,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,937,,2016-09-26 22:11:00,2016,9,Monday,22,Part One,CAMDEN ST,42.33744115,-71.08057671,"(42.33744115, -71.08057671)"
2120,I192076230,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,938,,2019-09-21 21:05:00,2019,9,Saturday,21,Part Two,JETTE CT,42.3468275,-71.14319087,"(42.34682750, -71.14319087)"
368414,I162005511,2403,Disorderly Conduct,DISTURBING THE PEACE,A1,117,,2016-01-21 07:08:00,2016,1,Thursday,7,Part Two,BOYLSTON ST,42.352311900000004,-71.06370509999999,"(42.35231190, -71.06370510)"
190332,I172089380,2403,Disorderly Conduct,DISTURBING THE PEACE,D14,796,,2017-10-26 00:58:00,2017,10,Thursday,0,Part Two,BRIGHTON AVE,42.35237334,-71.12731071,"(42.35237334, -71.12731071)"
423097,I152053288,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,D14,816,,2015-06-27 18:50:00,2015,6,Saturday,18,Part Three,CAMBRIDGE ST,42.35766829,-71.12729676,"(42.35766829, -71.12729676)"
139148,I182035882,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,77,,2018-05-11 10:00:00,2018,5,Friday,10,Part One,BOWKER ST,42.36242887,-71.06054873,"(42.36242887, -71.06054873)"
395611,I152083497,2610,Other,TRESPASSING,D4,271,,2015-10-07 19:38:00,2015,10,Wednesday,19,Part Two,REED ST,42.33472388,-71.07660307,"(42.33472388, -71.07660307)"
328387,I162048455,617,Larceny,LARCENY THEFT FROM BUILDING,C11,350,,2016-06-18 16:27:00,2016,6,Saturday,16,Part One,GREENWICH ST,42.30404525,-71.05704706,"(42.30404525, -71.05704706)"
425517,I152050482,1402,Vandalism,VANDALISM,B2,330,,2015-06-18 11:11:00,2015,6,Thursday,11,Part Two,BLUE HILL AVE,42.304339500000005,-71.08477887,"(42.30433950, -71.08477887)"
144866,I182029888,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,821,,2018-04-21 16:59:00,2018,4,Saturday,16,Part Three,WASHINGTON ST,42.259082,-71.159586,"(42.25908200, -71.15958600)"
55869,I192019176,2629,Harassment,HARASSMENT,E5,729,,2019-03-15 10:00:00,2019,3,Friday,10,Part Two,BAKER ST,42.29401294,-71.17745696,"(42.29401294, -71.17745696)"
135293,I182039915,2647,Other,THREATS TO DO BODILY HARM,C6,216,,2018-05-24 22:12:00,2018,5,Thursday,22,Part Two,DORCHESTER ST,42.33185624,-71.05277801,"(42.33185624, -71.05277801)"
415282,I152062131,1402,Vandalism,VANDALISM,B3,469,,2015-07-27 17:30:00,2015,7,Monday,17,Part Two,HIAWATHA RD,42.27683754,-71.0952644,"(42.27683754, -71.09526440)"
226729,I172050875,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C6,913,,2017-06-25 00:39:00,2017,6,Sunday,0,Part One,PENINSULA PL,42.31987185,-71.04484536,"(42.31987185, -71.04484536)"
10772,I192066865,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,213,,2019-08-23 23:00:00,2019,8,Friday,23,Part Two,W THIRD ST,42.33665636,-71.04538535,"(42.33665636, -71.04538535)"
376514,I152104539,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,119,,2015-12-19 01:57:00,2015,12,Saturday,1,Part One,BOYLSTON ST,42.35241815,-71.06525499,"(42.35241815, -71.06525499)"
43915,I192031926,3130,Search Warrants,SEARCH WARRANT,B3,417,,2019-04-30 11:40:00,2019,4,Tuesday,11,Part Three,ROCKWELL ST,42.28339069,-71.07388628,"(42.28339069, -71.07388628)"
82038,I182096580,562,Other Burglary,BURGLARY - OTHER - NO FORCE,D14,808,,2018-11-30 13:00:00,2018,11,Friday,13,Part One,LINCOLN ST,42.35779134,-71.13937053,"(42.35779134, -71.13937053)"
70947,I192003394,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C6,175,,2019-01-13 12:00:00,2019,1,Sunday,12,Part Two,SOUTHAMPTON ST,42.33168201,-71.06798742,"(42.33168201, -71.06798742)"
425300,I152050739,3301,Verbal Disputes,VERBAL DISPUTE,B3,428,,2015-06-19 09:34:00,2015,6,Friday,9,Part Three,NORFOLK ST,42.28092154,-71.08766264,"(42.28092154, -71.08766264)"
252251,I172023550,3114,Investigate Property,INVESTIGATE PROPERTY,B2,320,,2017-03-26 15:15:00,2017,3,Sunday,15,Part Three,ELM HILL AVE,42.31204855,-71.08556294,"(42.31204855, -71.08556294)"
61129,I192013659,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,329,,2019-02-20 11:15:00,2019,2,Wednesday,11,Part Two,BISHOP JOE L SMITH WAY,42.30660388,-71.08055038,"(42.30660388, -71.08055038)"
18739,I192058424,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2019-07-28 14:02:00,2019,7,Sunday,14,Part Three,WINTER ST,42.35571985,-71.06110871,"(42.35571985, -71.06110871)"
14450,I192062905,724,Auto Theft,AUTO THEFT,C6, ,,2019-08-11 20:22:00,2019,8,Sunday,20,Part One,,,,"(0.00000000, 0.00000000)"
329605,I162047159,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,924,,2016-06-14 19:20:00,2016,6,Tuesday,19,Part Two,WASHINGTON ST,42.34425779,-71.14383621,"(42.34425779, -71.14383621)"
292135,I162087384,1001,Counterfeiting,FORGERY / COUNTERFEITING,D4, ,,2016-10-25 09:12:00,2016,10,Tuesday,9,Part Two,,,,"(0.00000000, 0.00000000)"
409106,I152068825,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,B3,441,,2015-08-19 21:21:00,2015,8,Wednesday,21,Part Two,NIGHTINGALE ST,42.29540175,-71.08237834,"(42.29540175, -71.08237834)"
211324,I172067164,3301,Verbal Disputes,VERBAL DISPUTE,B3,441,,2017-08-15 14:03:00,2017,8,Tuesday,14,Part Three,HARVARD ST,42.29629726,-71.08115283,"(42.29629726, -71.08115283)"
142574,I182032281,3410,Towed,TOWED MOTOR VEHICLE,C6,224,,2018-04-30 09:34:00,2018,4,Monday,9,Part Three,E SECOND ST,42.33743805,-71.02846551,"(42.33743805, -71.02846551)"
278133,I162102434,3125,Warrant Arrests,WARRANT ARREST,C6,177,,2016-12-16 14:06:00,2016,12,Friday,14,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
131884,I182043561,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,357,Y,2018-06-05 22:49:00,2018,6,Tuesday,22,Part One,CLAYBOURNE ST,42.29808992,-71.07178667,"(42.29808992, -71.07178667)"
223379,I172054410,3301,Verbal Disputes,VERBAL DISPUTE,E13,916,,2017-07-06 01:19:00,2017,7,Thursday,1,Part Three,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
78431,I182100554,617,Larceny,LARCENY THEFT FROM BUILDING,D4,169,,2018-12-13 19:44:00,2018,12,Thursday,19,Part One,E BROOKLINE ST,42.33763461,-71.07013024,"(42.33763461, -71.07013024)"
349423,I162025955,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,214,,2016-04-03 20:00:00,2016,4,Sunday,20,Part One,F ST,42.33533446,-71.04950099,"(42.33533446, -71.04950099)"
172572,I182000603,3502,Missing Person Located,MISSING PERSON - LOCATED,B2,317,,2017-12-11 16:00:00,2017,12,Monday,16,Part Three,MASSACHUSETTS AVE,42.33311189,-71.0727637,"(42.33311189, -71.07276370)"
325565,I162051461,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,120,,2016-06-28 22:48:00,2016,6,Tuesday,22,Part Three,ARLINGTON ST,42.35189279,-71.0706814,"(42.35189279, -71.07068140)"
412526,I152065089,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,145,,2015-07-15 21:00:00,2015,7,Wednesday,21,Part One,SAINT BOTOLPH ST,42.34401294,-71.08186196,"(42.34401294, -71.08186196)"
7585,I192070363,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,165,,2019-09-02 20:30:00,2019,9,Monday,20,Part Three,HARRISON AVE,42.34285014,-71.06516235,"(42.34285014, -71.06516235)"
81282,I182097412,423,Aggravated Assault,ASSAULT - AGGRAVATED,A1,112,,2018-12-03 12:39:00,2018,12,Monday,12,Part One,SUMMER ST,42.35521625,-71.06012863,"(42.35521625, -71.06012863)"
225074,I172052582,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A15,45,,2017-06-30 08:36:00,2017,6,Friday,8,Part Three,MEDFORD ST,42.38178873,-71.06396887,"(42.38178873, -71.06396887)"
348081,I162027381,3410,Towed,TOWED MOTOR VEHICLE,C6,229,,2016-04-08 23:53:00,2016,4,Friday,23,Part Three,G ST,42.33358302,-71.04418906,"(42.33358302, -71.04418906)"
358271,I162016385,3201,Property Lost,PROPERTY - LOST,B2,604,,2016-02-28 18:30:00,2016,2,Sunday,18,Part Three,HUNTINGTON AVE,42.33391238,-71.10524519,"(42.33391238, -71.10524519)"
94883,I182082394,619,Larceny,LARCENY ALL OTHERS,E18,520,,2018-10-11 23:59:00,2018,10,Thursday,23,Part One,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
420080,I152056734,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,466,,2015-07-09 17:42:00,2015,7,Thursday,17,Part Two,BLUE HILL AVE,42.28428259,-71.09154921,"(42.28428259, -71.09154921)"
423022,I152053373,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,12,,2015-06-28 02:15:00,2015,6,Sunday,2,Part Three,SARATOGA ST,42.38646996,-71.00626015,"(42.38646996, -71.00626015)"
69445,I192004995,3301,Verbal Disputes,VERBAL DISPUTE,C11,335,,2019-01-19 07:18:00,2019,1,Saturday,7,Part Three,HAMILTON ST,42.30816879,-71.06964861,"(42.30816879, -71.06964861)"
403085,I152075449,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,C11,247,,2015-09-11 10:24:00,2015,9,Friday,10,Part Two,DORCHESTER AVE,42.31296937,-71.05720983,"(42.31296937, -71.05720983)"
19557,I192057557,3301,Verbal Disputes,VERBAL DISPUTE,C6,231,,2019-07-25 18:11:00,2019,7,Thursday,18,Part Three,E SEVENTH ST,42.33236385,-71.03153812,"(42.33236385, -71.03153812)"
267400,I172007438,3125,Warrant Arrests,WARRANT ARREST,E5,713,,2017-01-27 19:40:00,2017,1,Friday,19,Part Three,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
106473,I182070284,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,452,,2018-09-01 13:37:00,2018,9,Saturday,13,Part One,KENBERMA RD,42.29574022,-71.07322638,"(42.29574022, -71.07322638)"
54569,I192020576,1845,Drug Violation,DRUGS - POSS CLASS D,D14,795,,2019-03-20 11:16:00,2019,3,Wednesday,11,Part Two,ARMINGTON ST,42.35245870000001,-71.13762608,"(42.35245870, -71.13762608)"
262925,I172012247,1402,Vandalism,VANDALISM,A1,125,,2017-02-15 01:27:00,2017,2,Wednesday,1,Part Two,ARLINGTON ST,42.34965624,-71.06973381,"(42.34965624, -71.06973381)"
400053,I152078715,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,E18,500,,2015-09-21 18:16:00,2015,9,Monday,18,Part Two,MANNING ST,42.27966845,-71.11455759999998,"(42.27966845, -71.11455760)"
172283,I182000887,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,E13,577,,2018-01-04 10:17:00,2018,1,Thursday,10,Part Two,WASHINGTON ST,42.31485546,-71.09922409999999,"(42.31485546, -71.09922410)"
151035,I182023421,3207,Property Found,PROPERTY - FOUND,D14,796,,2018-03-24 00:00:00,2018,3,Saturday,0,Part Three,CHESTER ST,42.35159398,-71.12865659,"(42.35159398, -71.12865659)"
173544,I172107240,3201,Property Lost,PROPERTY - LOST,B3,426,,2017-12-29 22:36:00,2017,12,Friday,22,Part Three,BLUE HILL AVE,42.26985916,-71.09346353,"(42.26985916, -71.09346353)"
206145,I172072620,3114,Investigate Property,INVESTIGATE PROPERTY,D14,799,,2017-09-01 20:40:00,2017,9,Friday,20,Part Three,BRIGHTON AVE,42.35232814,-71.12603095,"(42.35232814, -71.12603095)"
124869,I182050855,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,C11,396,,2018-06-28 20:53:00,2018,6,Thursday,20,Part Two,SANTUIT ST,42.29042439,-71.0638074,"(42.29042439, -71.06380740)"
192909,I172086629,3410,Towed,TOWED MOTOR VEHICLE,B2,266,,2017-10-17 10:54:00,2017,10,Tuesday,10,Part Three,FAIRLAND ST,42.32522448,-71.07821131,"(42.32522448, -71.07821131)"
109875,I182066691,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,B2,691,,2018-08-20 19:11:00,2018,8,Monday,19,Part Two,CENTRE ST,42.28709355,-71.14822128,"(42.28709355, -71.14822128)"
112276,I182064162,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,B2,327,,2018-08-12 11:53:00,2018,8,Sunday,11,Part One,BEAUFORD LN,42.31601099,-71.07533873,"(42.31601099, -71.07533873)"
272628,I172001914,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,457,,2017-01-07 22:27:00,2017,1,Saturday,22,Part Three,CHARLOTTE ST,42.29944216,-71.08489748,"(42.29944216, -71.08489748)"
248830,I172027171,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,458,Y,2017-04-07 21:05:00,2017,4,Friday,21,Part One,COLUMBIA RD,42.30355748,-71.08311604,"(42.30355748, -71.08311604)"
311457,I162066656,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C6,201,,2016-08-16 09:30:00,2016,8,Tuesday,9,Part Two,B ST,,,"(0.00000000, 0.00000000)"
333370,I162043180,1402,Vandalism,VANDALISM,D4,170,,2016-06-01 21:29:00,2016,6,Wednesday,21,Part Two,WORCESTER SQ,42.33614948,-71.07406908,"(42.33614948, -71.07406908)"
215948,I172062268,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,795,,2017-07-31 15:52:00,2017,7,Monday,15,Part Three,BRIGHTON AVE,42.35329808,-71.13504948,"(42.35329808, -71.13504948)"
252736,I172023030,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A1,66,,2017-03-24 05:33:00,2017,3,Friday,5,Part One,W CEDAR ST,42.35978577,-71.07010238,"(42.35978577, -71.07010238)"
214252,I172064044,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E18,517,,2017-08-05 18:18:00,2017,8,Saturday,18,Part Three,CHITTICK RD,42.24487982,-71.1207012,"(42.24487982, -71.12070120)"
244589,I172031746,3201,Property Lost,PROPERTY - LOST,A1,67,,2017-04-23 23:33:00,2017,4,Sunday,23,Part Three,REVERE ST,42.35954321,-71.06749237,"(42.35954321, -71.06749237)"
90478,I182087117,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,54,,2018-10-27 12:00:00,2018,10,Saturday,12,Part Three,FRANKLIN ST,42.378308399999995,-71.06709787,"(42.37830840, -71.06709787)"
415503,I152061881,617,Larceny,LARCENY THEFT FROM BUILDING,C11,342,,2015-07-26 21:11:25,2015,7,Sunday,21,Part One,HOMES AVE,42.30288397,-71.06918798,"(42.30288397, -71.06918798)"
238701,I172037973,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,520,,2017-05-14 19:50:00,2017,5,Sunday,19,Part One,HYDE PARK AVE,42.25693527,-71.12384449999999,"(42.25693527, -71.12384450)"
311281,I162066829,724,Auto Theft,AUTO THEFT,B2,263,,2016-08-17 21:40:00,2016,8,Wednesday,21,Part One,HUCKINS ST,42.32368852,-71.07519735,"(42.32368852, -71.07519735)"
188667,I172091183,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,92,,2017-10-31 20:46:00,2017,10,Tuesday,20,Part Two,COURT ST,,,"(0.00000000, 0.00000000)"
74258,I182105206,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B2,326,,2018-12-31 18:55:00,2018,12,Monday,18,Part Two,BLUE HILL AVE,42.31432112,-71.07900586,"(42.31432112, -71.07900586)"
421451,I152055155,3115,Investigate Person,INVESTIGATE PERSON,A1,173,,2015-07-04 09:15:00,2015,7,Saturday,9,Part Three,ATLANTIC AVE,42.35218278,-71.0556788,"(42.35218278, -71.05567880)"
260468,I172014834,3170,Other,INTIMIDATING WITNESS,A7,12,,2017-02-25 21:45:00,2017,2,Saturday,21,Part Three,BENNINGTON ST,42.385945899999996,-71.00902371,"(42.38594590, -71.00902371)"
295774,I162083508,3410,Towed,TOWED MOTOR VEHICLE,E5,563,,2016-10-12 06:42:00,2016,10,Wednesday,6,Part Three,FAWNDALE RD,42.29011783,-71.12187904,"(42.29011783, -71.12187904)"
29202,I192047402,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,A1,115,,2019-06-22 12:50:00,2019,6,Saturday,12,Part Three,ATLANTIC AVE,42.3499784,-71.05683752,"(42.34997840, -71.05683752)"
60053,I192014781,3410,Towed,TOWED MOTOR VEHICLE,D4,131,,2019-02-26 09:47:00,2019,2,Tuesday,9,Part Three,BEACON ST,42.35393998,-71.07802992,"(42.35393998, -71.07802992)"
22676,I192054250,1402,Vandalism,VANDALISM,A1,112,,2019-07-14 21:33:00,2019,7,Sunday,21,Part Two,CHAUNCY ST,42.35408145,-71.05977436,"(42.35408145, -71.05977436)"
300987,I162077923,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,447,,2016-09-23 14:59:00,2016,9,Friday,14,Part One,NORWELL ST,42.29512751,-71.07820832,"(42.29512751, -71.07820832)"
62276,I192012509,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A1,111,,2019-02-17 01:10:00,2019,2,Sunday,1,Part Two,MASSACHUSETTS AVE,42.34114797,-71.08246189,"(42.34114797, -71.08246189)"
418036,I152059022,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C11,338,,2015-07-17 09:14:00,2015,7,Friday,9,Part Two,CHURCH ST,42.30866634,-71.06198089,"(42.30866634, -71.06198089)"
